,Name,R-RetTime,R-Type,R-Area,R-Height,R-Width,R-Start,R-End,R-HPLC-concentration,S-RetTime,S-Type,S-Area,S-Height,S-Width,S-Start,S-End,S-HPLC-concentration,R-OD600,R-Fluorescence,R-RFU/OD,R-Biosensor-concentration,S-OD600,S-Fluorescence,S-RFU/OD,S-Biosensor-concentration,HPLC batch,R-growth-plate,S-growth-plate,ired,run_order,R-Biosensor-concentration-err,S-Biosensor-concentration-err
25,IR9-2,5.244876385,BB  ,948477.375,88251.15625,0.148997247,5.045383453,5.881533146,0.359312008,4.195512772,BV  ,42081792.0,4577798.5,0.145611808,3.982966661,4.742208004,63.61356276,0.245,1259,5138.77551,0.9039513834999999,0.476,42458,89197.47899,31.086520025,1,1,2,IR9,25,0.8405157324324929,1.1062012338410672
26,IR9-3,5.233501434,VB  ,3751345.0,98018.66406,0.47896868,5.063203335,7.347249985,2.578970674,4.160729408,BV  ,38520392.0,4105145,0.141933501,3.668183327,4.70227623,55.20919215,0.489,2523,5159.509202,0.893416728,0.295,12570,42610.16949,19.427727225,1,1,2,IR9,26,0.8286260104931712,1.5633450216862879
27,IR10-1,5.227715969,VB  ,23845444.0,1825946.75,0.19662258,4.998227596,7.652383327,18.50108655,4.21421814,BV  ,31851036.0,3692735,0.133093789,3.756900072,4.681009293,41.03985958,0.766,3519,4593.994778,0.6880763272500001,0.746,28739,38524.12869,18.093034305,1,1,2,IR10,27,0.6601012249744963,1.76482168836777
28,IR10-2,5.193440914,BB  ,20425478.0,1788346.5,0.171615049,4.966766834,7.189949989,15.72119043,4.182887077,BV  ,32438138.0,3237153.75,0.167076692,3.9535501,4.676499367,42.20505216,0.686,8230,11997.08455,8.486754767499999,0.73,26969,36943.83562,17.4520845525,1,1,2,IR10,28,1.1023414925914954,1.846184438496517
29,IR10-3,5.211432457,VB  ,22536474.0,1690301.75,0.202764466,4.963935375,7.357133389,17.43048937,4.215027332,BV  ,32198284.0,4347485.5,0.112965502,3.904316664,4.683140278,41.72711003,0.761,8509,11181.34034,7.6781314575,0.698,26788,38378.2235,17.967617165000004,1,1,2,IR10,29,1.134456071964358,1.866662834569439
30,IR11-1,5.17189455,BB  ,5895264.0,538653,0.16605033,4.957133293,6.294983387,4.265199054,4.264174938,BB  ,4084428.75,830951.375,0.07505092,4.160333157,4.62989521,4.040419786,0.579,5781,9984.455959,6.4098866375,0.56,13204,23578.57143,9.8175785425,1,1,2,IR11,30,1.1892470035673703,4.481297018308707
31,IR11-2,5.153624535,VB  ,5242277.5,456082.125,0.172463447,4.950386047,6.229408264,3.752419206,4.254653454,BV  ,3958771.0,780530.25,0.076877162,4.061699867,4.649196625,3.953591086,0.536,5222,9742.537313,6.150969594999999,0.541,13115,24242.14418,10.139802169,1,1,2,IR11,31,1.1888971807299764,4.44079518042618
32,IR11-3,5.189807892,VB  ,6364022.0,415803.9375,0.225782335,4.957159996,7.238628387,4.632957585,4.257486343,BV  ,5318424.5,984842.6875,0.08071325,4.140533447,4.668616295,4.931692498,0.533,5286,9917.448405,6.33255457,0.518,12263,23673.74517,9.261390041750001,1,1,2,IR11,32,1.1901516482497576,4.856010214197439
33,IR12-1,5.224022865,VB  ,1655581.125,120649.5234,0.189602748,4.97507143,6.061908245,0.921294006,4.256407261,BB  ,2806996.5,584815.5625,0.07370764,4.140349865,4.563872814,3.191562504,0.854,4174,4887.587822,0.7670941265,0.893,14739,16505.03919,3.57251121025,1,1,2,IR12,33,0.7518040661699265,3.681811167608785
34,IR12-2,5.231678963,VB  ,1562472.875,112767.7188,0.197064549,4.979248524,6.038899899,0.847380013,4.251665592,BB  ,2836163.0,586425.9375,0.074134126,4.140333176,4.590391636,3.210106351,0.856,3823,4466.121495,0.66933251025,0.896,14693,16398.4375,3.41361871775,1,1,2,IR12,34,0.6576340538040442,3.632338019477751
